Question,Answer,Category,keywords,lastupdated
What was the 'Folawiyo Entrepreneurship Centre Maiden Business Idea Competition'?,It was the first business idea competition organized by the centre in June 2025.,Events,"was, folawiyo, entrepreneurship, centre, maiden, business, idea, competition, first, organized",2026-06-16
What did Tunde Fanimokun pledge at the announcement of Yabatech's transformation to a university?,He pledged to donate edifice buildings at the take-off of the university.,Donations,"did, tunde, fanimokun, pledge, announcement, yabatech, transformation, university, pledged, donate",2026-06-16
What is the 'Plastogas Hub'?,It is a research initiative at Yabatech that was lauded by the French Embassy for its progress.,Research,"plastogas, hub, research, initiative, yabatech, that, was, lauded, french, embassy",2026-06-16
What did the University of Kwazulu-Natal plan with Yabatech?,The university planned to sign a pact with Yabatech on Postgraduate (PG) programs.,Partnerships,"did, university, kwazulu, natal, plan, yabatech, planned, sign, pact, postgraduate",2026-06-16
What did ICAN rate Yabatech for in May 2025?,ICAN rated Yabatech as a major producer of Chartered Accountants in Nigeria.,Awards,"did, ican, rate, yabatech, may, 2025, rated, major, producer, chartered",2026-06-16
What is the purpose of the 'Centre for Peace and Conflict Resolution'?,The Yabatech Governing Council created this centre to address conflicts.,Units,"purpose, centre, peace, conflict, resolution, yabatech, governing, council, created, this",2026-06-16
What is the partnership with CIG about?,Yabatech and CIG have a partnership that sponsors students to study in China.,Partnerships,"partnership, cig, about, yabatech, have, that, sponsors, students, study, china",2026-06-16
What is the 'MEMAN Competency Centre'?,It is a centre that collaborated with Yabatech to host a Youth Enlightenment Program on energy and careers.,Partnerships,"meman, competency, centre, that, collaborated, yabatech, host, youth, enlightenment, program",2026-06-16
What does the 'Centre For Research Support and Grant Management' do?,It is an academic unit that assists staff in securing and managing research grants.,Research,"centre, research, support, grant, management, academic, unit, that, assists, staff",2026-06-16
What is the 'Final Accounts' department in the Bursary responsible for?,This department is responsible for preparing the college's end-of-year financial statements.,Administration,"final, accounts, department, bursary, responsible, this, preparing, college, end, year",2026-06-16
What services are offered under 'Yabatech Consult Limited'?,"Services include Skill Acquisition, Facility Management, Asset Management, Seminars & Conferences, Advert Services, and Consultancy Services.",Enterprise,"services, offered, under, yabatech, consult, limited, include, skill, acquisition, facility",2026-06-16
What is the 'Staff Aper Forms' link for?,It provides access to the Annual Performance Evaluation Report forms for staff.,Staff,"staff, aper, forms, link, provides, access, annual, performance, evaluation, report",2026-06-16
What is 'YCTBUS'?,This appears to be a transport service or initiative related to the college.,General,"yctbus, this, appears, transport, service, initiative, related, college, general",2026-06-16
What is the process for 'Confirm statement of result'?,There is an online portal under the Alumni section for this purpose.,Alumni,"process, confirm, statement, result, there, online, portal, under, alumni, section",2026-06-16
What did the First Lady's N50m Endowment Fund support?,It was established for Yabatech's best female student.,Donations,"did, first, lady, n50m, endowment, fund, support, was, established, yabatech",2026-06-16
What was the result of the 36th Convocation?,"8,139 students graduated, with 316 achieving distinction.",Events,"was, result, 36th, convocation, 139, students, graduated, 316, achieving, distinction",2026-06-16
What is the purpose of the 'FUOYE-YABATECH External Degree Affiliation Program'?,It allows students to convert their HND to a B.Sc degree from Federal University Oye-Ekiti.,Academics,"purpose, fuoye, yabatech, external, degree, affiliation, program, allows, students, convert",2026-06-16
What was the 'Town And Gown Synergy' event about?,"It was an event mentioned in the news on July 29, 2024, likely to bridge the gap between academia and industry.",Events,"was, town, gown, synergy, event, about, mentioned, news, july, 2024",2026-06-16
What is the 'Girls Education Skills Program (GESP)'?,"It's a program at Yabatech, supported by a 1.5 Billion Naira grant, to empower girls with skills.",Academics,"girls, education, skills, program, gesp, yabatech, supported, billion, naira, grant",2026-06-16
Who donated 150 acres of land to Yabatech?,Tunde Fanimokun donated 150 acres of land for a new 'green campus'.,Donations,"donated, 150, acres, land, yabatech, tunde, fanimokun, new, green, campus",2026-06-16
What did the Olumegbon family donate to the Fashion & Design department?,They donated three industrial machines to graduating students.,Donations,"did, olumegbon, family, donate, fashion, design, department, they, donated, three",2026-06-16
What research grant was awarded for prostate cancer treatment?,TETFUND NRF granted Yabatech researchers N34 million for research on prostate cancer treatment.,Research,"research, grant, was, awarded, prostate, cancer, treatment, tetfund, nrf, granted",2026-06-16
What is the purpose of the Gelede Mask unveiled by the college?,It was unveiled to preserve cultural heritage.,Events,"purpose, gelede, mask, unveiled, college, was, preserve, cultural, heritage, events",2026-06-16
What was the outcome of the partnership with Royal FrieslandCampina?,The CEO praised Yabatech as a model for nurturing talent for national and global standards.,Partnerships,"was, outcome, partnership, royal, frieslandcampina, ceo, praised, yabatech, model, nurturing",2026-06-16
What is the 'Plastogas Hub' research project?,It's a research project at Yabatech that gained recognition from the French Embassy.,Research,"plastogas, hub, research, project, yabatech, that, gained, recognition, french, embassy",2026-06-16
